0.00000 , 3.50000
1.00000 , 3.15000
1.00000 , 3.30000
1.00000 , 3.40000
1.00000 , 
1.00000 , 3.20000
1.00000 , 3.00000
1.00000 , 3.20000
1.00000 , 3.50000
1.00000 , 2.70000
1.00000 , 2.70000
0.00000 , 3.30000
1.00000 , 3.35000
0.00000 , 3.50000
1.00000 , 2.90000
0.00000 , 3.30000
0.00000 , 
0.50500 , 
0.00000 , 2.75000
1.00000 , 3.50000
1.00000 , 2.85000
0.00000 , 3.50000
1.00000 , 
1.00000 , 3.50000
1.00000 , 3.15000
1.00000 , 3.50000
1.00000 , 3.30000
0.00000 , 3.50000
1.00000 , 3.30000
1.00000 , 3.45000
0.92447 , 
0.00000 , 3.50000
1.00000 , 3.50000
0.00000 , 2.85000
1.00000 , 3.50000
0.87010 , 2.95000
0.13067 , 3.25000
1.00000 , 3.35000
1.00000 , 2.95000
0.00000 , 3.30000
1.00000 , 
0.00000 , 2.65000
0.00000 , 3.05000
1.00000 , 3.50000
0.00000 , 3.10000
0.00000 , 3.15000
1.00000 , 
0.00000 , 3.50000
1.00000 , 3.40000
0.00000 , 2.90000
